about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,6/24/2009,"This is as good as it gets, seriously.  Training with Roxy is fun, exhausting, empowering, invigorating, and I could keep going.  Each session brings something new, challenging and exciting.  I have been training with Roxy for a little over three years and she has helped me to transform.  I started out of shape, insecure, and unhappy with my body.  Now I walk around strong, confident, energized, fit and lean!",R7ELLreDeBrkOCLpWTMusQ,Kate M.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,9/14/2009,"I started training with Roxy because I was looking to train with a group of women in Thai Boxing who were serious about their training and not just looking to hook up with guys at the gym.  After seeing Roxy fight and reading her training blog, I had a great deal of respect for her and her training ethic. Definitely worth the almost hour long drive it usually takes me to get to the facility on Monday and Wednesday mornings.  The workouts are intense and I leave the studio feeling amazing.  The other women are great to train with and have a drive and passion for their training that I really admire.  A lot of pad work, some sparring when you're ready for it, and some ab/core work usually round out the daily workouts.  Unfortunately, I'm sidelined right now with a shoulder injury (unrelated), but you can bet I'll be back making the hour long drive as soon as I'm able to!",jX6X-AOSkn4LCjNZSq_GQQ,J V.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,2/28/2012,"I hate to admit it, but I haven't been to a gym in years! I finally decided to get off my butt and work out again, but didn't want to go to one of the large, impersonal gyms I went to before. Enter Function 5 Fitness and Muay Thai. The gym is small, the classes are small - which is a good thing. You don't feel like a number here. This is definitely where the ""cool kids"" hang out. Lots of rock hard bodies with tattoos, dressed in black. Heck, the owner, Roxy, is a professional fighter so of course she's gonna be a bad ass! Other professional fighters train here, too. If that intimidates you, then don't come here. The classes are filled with a mix of people, but most are young and fit. If that bothers you, then don't come here. That said, the vibe is supportive. I feel like the biggest (and oldest) dork in the room. There's no way I make Muay Thai look cool. I still haven't gotten the moves right and I'm usually huffing and puffing with a bright red face. But, I like the workouts. I like punching and kicking - I NEED punching and kicking in my life. The instruction is top notch - emphasis on proper form with a non-judgmental attitude. If you're looking for a ""no nonsense"" gym with small classes, quality instruction, and killer workouts, then this is the place for you!",BdUu-iPtSanDZhEU08XDMQ,Dee G.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,4/4/2013,"This place has literally transformed my life!  Went in with a goal to get healthy and active- I was extremely sedentary and needed a kick in the pants to get going.  From my first meeting with Daniel, I was completely hooked.  And the results have been extraordinary- in three months I've lost weight and gotten stronger than I've ever been in my life.  The classes are super fun and informative- you're learning a sport and the teachers are very serious about what they do.  I can't say enough good things about the team over there- Daniel and Kate, in particular have been incredible cheerleaders and I've become addicted to their classes.  ",L5aB-dBiE60lp1DQomUywQ,Amanda E.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,5/7/2012,"All the instructors here are very friendly and encouraging.  It's a great place for beginners to learn Muay Thai.  I haven't tried any of the other classes out yet, but I'm sure they're great, because of the friendly staff and their willingness to work with any skill level.",yldoVzYskJ_MouttgWN5Bg,Brooke B.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,10/4/2012,"I didn't realize this but apparently I've started writing this review multiple times. I remain super impressed with what I've experienced at Function Five Fitness. In fact, I go as far to say as, this gym has literally changed my life. I know it may sound corny but its true.",gXtPjJICCz2OykJph0T6Jg,Luke R.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,7/12/2011,"So being new to LA and feeling adventurous, I wanted to try kickboxing. The first step for me was to yelp kickboxing near my area and this place showed up. I was overwhelmed by how may reviews it had compared to the other places plus they were all rated 5 stars. After attending even one class I see why! ",m-Yuoat4zU78OpG63exHrw,Bianca A.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,5/22/2012,"So I was in LA for a 3 month contract and needed some exercise. Roxy and the crew are fantastic, but as anyone who has been around a good Muay Thai gym knows it's about the community and the other members. I felt welcome from day one, even though I was a total beginner. Finally a Muay Thai gym that plays rock music instead of techno, kicks my ass without making me feel like a wimp and has the community. Too bad it's in LA and I live in SF.",HWrKrCjeI-FTKlM_epB8AA,Duff R.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,5/21/2011,"Hands down the most liberating, stress releasing, body trimming, mind focusing work out you can possibly find.  The entire team at Function Five help you accomplish goals (both personal & physical) you never dreamed of achieving.  There's absolutely nothing like Muay Thai before a day of work or to wind down from a crazy day. The classes are full of supportive teammates, who not only challenging you but cheer you on at the same time.  I have been with Roxy for nearly 2 years and I never plan on leaving.",lunw7rjDenk5a6Pko6ECQg,Rachel H.,90036
"F5SXMT offers Muay Thai, kettlebells, barbell, and bodyweight training.",805 S La Brea Ave,5.0,"Trainers,Gyms,Muay Thai",F5 Strength and Muay Thai,63,5,Mid-Wilshire,1/18/2014,"This gym is awesome. The instructors are way more knowledgeable, focused on form and on its clients specific needs/limitations/abilties than I've experienced with any of the ""posh"", more expensive gyms and trainers I've used. It's also got a great community feel. I've been doing a mix of Muay Thai and traditional training - and both are great. MT is one of the most fun workouts I've ever done. Overall - highly recommend.",MrggmL0C1P8ckU1RssrOpQ,Lauren A.,90036
