about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,2/23/2020,I CAN'T STOP SMILING!!!!!!!!!!!!!!!!!!  :-))))))),HjCymMIA6J8wV01BY7C95A,Eunice L.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,1/16/2020,"I was on the newest season of Revenge Body w/ Khloe Kardashian & got paired with Luke. I didn't know what to expect walking in but, the workouts... are Hard (for a beginner). I lost 50 lbs in 12 weeks by working out with Luke & his awesome trainers ** Reuben was the best class to be in besides Luke's** ",Gco2a6_kfl8OTAxL64w4CQ,Ashley E.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,11/8/2019,"Highly recommend training mate weho! So glad I came here to check out this class....and you get the first class free! Honestly I'd pay for the class as well, totally worth it.",pHAXWbzL3Zubw75DKXM2ZQ,Chase P.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,6/12/2020,These guys are awesome and actually care about their customers and their fitness goals. I've been to so many other gyms and studios and none compare to Training mate. I'd highly recommend these guys to anyone!,t9CpylMizS4cHeL4kvY8Bg,Josh S.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,3,,3/24/2019,"I checked out TM via class pass. Took Reuben's class a week ago, and recall there being a warm-up prior to starting stations. I took Ash's class yesterday, but there was no warm-up, which I found odd. Anyway, the only reason I went to TM is because I had to work in the morning and could not make it to my usual training spot on time. I will have to say, in comparison to other HIIT places, TM is not really challenging. If you're barely getting into HIIT you might like it, but for someone who's already done it for over a year it may be a bit of a bore. I honestly did not really break a sweat both times I went, and was not really challenged by the variety of weight options. ",mqMeo-UenRzZQLyXuH-PFQ,Ana S.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,3,,2/12/2019,"5 years later after Yelp Fit Club first introduced me to Training Mate, I came back for a Sunday burn! The place is exactly as I remember & the instructor (Mark) was great BUT some key gripes:",GmQR50bIII7gDNRYEgfXfA,Tiffany H.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,5/18/2020,"I've gone to Training Mate for over 2 years and more consistently than any other workout class! It's always so much fun and super challenging. The instructors are really good at remembering names which makes me feel like I'm a part of the family. Highly recommend to anyone! You may need a little bit of exercise experience, but it's very easy to modify anything you're not comfortable doing. Especially fun to do with friends!",xHBIyMCI-RCJiCQlBUX5Iw,Grayson P.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,5/18/2019,"As far as standard HIIT circuit training gyms go, this one is my favorite. I discovered it through ClassPass and was pleasantly surprised at the non intimidating atmosphere and very welcoming staff.",hoiXPkYido1z_Zl3q9kGdw,Brittany T.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,4,,5/14/2019,"I tried Training Mate through ClassPass and was excited to see what the hype was about! I was not disappointed, the staff, workout, and amenities were great. The front desk staff was friendly and the trainer was encouraging and funny! I took the Mighty Mate class with Eddy, it was broken into 10 exercises that were repeated three times and covered our full body. The class ended with a 10 minute ab circuit outside. I needed to use the shower after class, they only have one (attached to one of the restrooms) but it was clean and they had shampoo, body wash, and conditioner in addition to providing towels.",iSTAoK1ZzHwvbHkL3uuOIQ,Hannah N.,90046
High intensity group fitness with an Aussie twist!,7825 Santa Monica Blvd,5.0,"Boot Camps,Interval Training,Gyms",Training Mate West Hollywood,168,5,,11/9/2019,These guys are onto something here....,BShdYzvipEwlOoNU9zF7qw,Garrik K.,90046
